zone,sr_target,sr_actual,sr_achievement,pm_target,pm_actual,pm_achievement,rsa_target,rsa_actual,rsa_achievement,ew_deliveries,ew_actual,ew_penetration,atw_target,atw_actual,atw_achievement,dssi_score,zone_rank
South,572000,557300,97.4,328000,319500,97.4,18400,43100,234.2,19400,11780,60.7,5950,5440,91.4,963,1
North,634000,609800,96.2,317000,300200,94.7,20500,38900,189.8,21500,12180,56.6,6250,5270,84.3,956,2
West,522000,498000,95.4,286000,267900,93.7,16400,35800,218.3,16400,9300,56.7,5020,4190,83.5,953,3
East,598000,402300,67.3,239000,231400,96.8,13160,28190,214.2,11100,6060,54.6,4240,3620,85.4,949,4
